period,elephant_id,age,shoulder_height,tusk_length
1966-68,58,2.5,149,30
1966-68,78,2.5,151,27
1966-68,86,2.5,127,27
1966-68,293,2.5,156,32
1966-68,29,3,146,28.5
1966-68,43,3,149,30.5
1966-68,221,3.5,166,43
1966-68,222,3.5,178,44
1966-68,241,3.5,177,45
1966-68,255,3.5,171,46
1966-68,153,3.75,175,47
1966-68,84,4,158,39.5
1966-68,87,4,157,42
1966-68,205,4,178,49
1966-68,238,4,176,45
1966-68,256,5,177,50
1966-68,296,5,178,43
1966-68,33,6,184,48.5
1966-68,240,6,191,57
1966-68,298,6,190,66
1966-68,224,7.5,194,59
1966-68,290,7.5,183,65
1966-68,38,8,199,60
1966-68,157,8,193,65
1966-68,155,8.5,201,67
1966-68,59,10,231,79.5
1966-68,66,10,203,82
1966-68,80,10,205,76.5
1966-68,220,10,195,79
1966-68,253,10,224,83
1966-68,278,10,218,88
1966-68,32,11,212,71
1966-68,48,11,221,80
1966-68,179,11,205,67
1966-68,297,11,190,83
1966-68,67,12,214,56
1966-68,7,13,213,91
1966-68,15,13,214,81.5
1966-68,164,13,218,82
1966-68,237,13,222,83
1966-68,194,13.5,219,70
1966-68,23,14,218,84
1966-68,148,14,233,94
1966-68,204,14,204,87
1966-68,219,14,220,73
1966-68,199,14.5,230,75
1966-68,35,2,147,22.5
1966-68,235,2,150,25
1966-68,139,2.25,160,28
1966-68,208,2.5,148,33
1966-68,173,2.75,156,32
1966-68,196,2.75,159,35
1966-68,6,3,180,56
1966-68,26,3,164,45
1966-68,75,3,169,43
1966-68,189,3,165,39
1966-68,277,3,156,42
1966-68,193,3.25,166,42
1966-68,5,3.5,164,49
1966-68,9,3.5,169,48.5
1966-68,52,3.5,169,51.5
1966-68,60,3.5,169,43
1966-68,163,3.5,173,61
1966-68,197,3.5,188,53
1966-68,279,3.5,161,47
1966-68,53,4,177,47.5
1966-68,63,4,172,50.5
1966-68,285,4,175,54
1966-68,207,5,172,57
1966-68,228,5,176,51
1966-68,262,5,195,62
1966-68,271,5.5,184,63
1966-68,21,6,172,59
1966-68,41,6,176,54.5
1966-68,44,6,192,66.5
1966-68,169,6,200,66
1966-68,182,6,185,64
1966-68,187,6,194,75
1966-68,236,6,188,58
1966-68,18,6.5,183,62
1966-68,25,7,195,69.5
1966-68,214,7,184,69
1966-68,57,7.5,199,86.5
1966-68,231,7.5,176,71
1966-68,3,8,208,92.5
1966-68,68,8,197,80.5
1966-68,141,8,199,83
1966-68,147,8,205,69
1966-68,181,8,217,80
1966-68,191,8,195,68
1966-68,198,8,193,65
1966-68,210,8,191,83
1966-68,229,8,196,84
1966-68,2,9,209,83
1966-68,286,9,215,83
1966-68,61,10,224,105
1966-68,77,10,202,76
1966-68,85,10,213,99
1966-68,92,10,233,119.5
1966-68,156,10,213,99
1966-68,251,10,215,111
1966-68,273,10,219,78
1966-68,283,10,204,84
1966-68,287,10,227,96
1966-68,172,11,222,112
1966-68,174,12,212,104
1966-68,185,12,237,106
1966-68,261,12,226,102
1966-68,36,13,213,78
1966-68,91,13,240,123
1966-68,158,13,246,98
1966-68,183,13,232,88
1966-68,249,13,240,99
1966-68,254,13,229,109
1966-68,142,14,220,115
1966-68,146,14,249,130
1966-68,176,14,231,100
1966-68,200,14,234,103
1966-68,223,14,227,94
1966-68,252,14,254,107
1966-68,272,14,246,112
1966-68,282,14,236,106
1966-68,257,2.5,135,29.5
1966-68,183,3,162,34.5
1966-68,243,3,162,37.5
1966-68,297,3,147,35.5
1966-68,140,3.5,164,43
1966-68,148,3.5,158,44
1966-68,197,3.5,164,41.75
1966-68,185,4,164,44
1966-68,210,4,180,49.6
1966-68,262,4,169,48
1966-68,225,4.5,164,40
1966-68,235,4.5,169,43
1966-68,22,5,169,42.5
1966-68,27,5.5,171,45.25
1966-68,111,5.5,185,53.25
1966-68,245,6,179,65.5
1966-68,96,6.5,189,63
1966-68,85,7,172,60
1966-68,199,7,191,63.5
1966-68,248,7,186,75
1966-68,76,7.5,188,60
1966-68,80,8,189,85
1966-68,246,8,203,83
1966-68,287,8,192,69.5
1966-68,34,8.5,192,68
1966-68,40,8.5,194,74.75
1966-68,51,8.5,199,82
1966-68,72,8.5,198,83
1966-68,109,8.5,205,65
1966-68,124,8.5,202,71.5
1966-68,73,9,204,76
1966-68,131,9,196,72
1966-68,142,9,196,69.25
1966-68,230,9,201,74
1966-68,232,9,211,72.75
1966-68,260,9,204,90
1966-68,114,10,197,80.5
1966-68,261,10,202,89
1966-68,167,2,140,28.5
1966-68,141,2.5,152,33.5
1966-68,153,2.5,148,26
1966-68,208,2.5,149,32
1966-68,238,2.5,148,27
1966-68,268,2.5,164,36.75
1966-68,298,2.5,153,34.5
1966-68,53,3,157,43
1966-68,207,3,171,48.5
1966-68,272,3,161,50
1966-68,283,3,157,44
1966-68,125,3.5,173,54
1966-68,150,3.5,169,54.25
1966-68,177,3.5,157,46
1966-68,251,3.5,167,50.5
1966-68,289,3.5,160,45
1966-68,15,4,171,58
1966-68,54,4,168,58
1966-68,119,4,176,59
1966-68,173,4,173,51
1966-68,187,4,168,53
1966-68,108,4.5,162,50.5
1966-68,170,4.5,178,64
1966-68,201,4.5,174,61.25
1966-68,78,5,161,48
1966-68,145,5,167,61.5
1966-68,23,5.5,168,57.5
1966-68,222,6,186,71.5
1966-68,89,7,183,64
1966-68,215,7,180,73
1966-68,252,7,188,81
1966-68,296,7,194,82.5
1966-68,269,7.5,201,88
1966-68,25,8,207,84
1966-68,38,8,197,91
1966-68,100,8,212,88
1966-68,118,8,182,71.25
1966-68,149,8,202,92.5
1966-68,12,8.5,203,80.5
1966-68,212,8.5,213,82.5
1966-68,241,8.5,216,97.5
1966-68,13,9,208,83
1966-68,47,9,200,98.75
1966-68,67,9,199,90
1966-68,159,9,207,89
1966-68,171,9.5,204,73.25
